fid,REGION,COMMUNE,AEZclass,AEZclassname,popsum2021,popmean2021,popsum2022,popmean2022,popsum2023,popmean2023,popsum2024,popmean2024,Rainfed_percentage,Wetland_percentage,Bare_percentage,Impervious_percentage,Water_percentage,Irrigated_percentage,Forest_percentage,Shrubland_percentage,Grassland_percentage
120,SEDHIOU,DIAROUME,2,Tropics lowland; semi-arid with soil/terrain limitations,21467.67197,5.076299827,22275.2633,5.258560742,23181.19196,5.442872026,23581.44354,5.492998729,0.015,0.002,0,0.005,0.046,0,0.833,0.06,0.039
121,SEDHIOU,FAOUNE,50,Land with severe soil/terrain limitations,15360.10499,5.479880483,16476.93462,5.855342794,17731.50077,6.217216259,18316.5638,6.353299965,0.058,0,0,0.005,0,0,0.791,0.141,0.005
122,SEDHIOU,MADINA WANDIFA,2,Tropics lowland; semi-arid with soil/terrain limitations,16921.39628,20.04904772,17246.66753,20.4344402,18951.39529,22.45425982,17624.36248,20.37498552,0.06,0,0,0.123,0,0,0.525,0.284,0.009
123,SEDHIOU,DIANNAH MALARY,2,Tropics lowland; semi-arid with soil/terrain limitations,3857.413725,9.477675001,5271.456422,12.92023633,5763.483981,14.057278,5567.685766,13.48107934,0.009,0.021,0.001,0.037,0.055,0,0.632,0.105,0.139
124,SEDHIOU,DIANNAH BA,2,Tropics lowland; semi-arid with soil/terrain limitations,8046.143996,4.632207251,8423.317482,4.827116036,8345.987258,4.769135576,8876.908102,5.066728369,0.012,0.008,0,0.005,0.002,0,0.917,0.032,0.023
125,SEDHIOU,DIENDE,2,Tropics lowland; semi-arid with soil/terrain limitations,17515.6296,6.296056651,18353.41971,6.585367675,18851.29939,6.739828171,19441.09661,6.935817555,0.004,0.003,0,0.008,0.058,0,0.878,0.038,0.011
126,SEDHIOU,KOUSSY,2,Tropics lowland; semi-arid with soil/terrain limitations,12598.44351,4.236194858,12799.65024,4.30095774,13089.26149,4.387952227,13704.42338,4.59109661,0.014,0,0,0.003,0,0,0.909,0.07,0.004
127,SEDHIOU,OUDOUCAR,2,Tropics lowland; semi-arid with soil/terrain limitations,8684.340614,5.256864778,8798.170397,5.325769005,10270.28856,6.205612421,10614.77946,6.409890979,0.008,0.004,0,0.007,0.077,0,0.81,0.066,0.028
128,SEDHIOU,SAKAR,2,Tropics lowland; semi-arid with soil/terrain limitations,9374.087248,3.351479173,9193.267457,3.285656704,9913.154586,3.540412352,10483.82302,3.736216328,0.009,0.002,0,0.003,0.057,0,0.878,0.039,0.013
129,SEDHIOU,SAMA KANTA PEULH,2,Tropics lowland; semi-arid with soil/terrain limitations,5267.423943,3.006520516,5040.930072,2.872324827,5054.615933,2.870310013,5589.055675,3.168398909,0.005,0,0,0.001,0,0,0.982,0.012,0
130,FATICK,DIOFFIOR,2,Tropics lowland; semi-arid with soil/terrain limitations,9253.428552,11.78780707,8639.995785,11.00636406,9031.60394,11.50522795,8604.98534,10.96176476,0.565,0,0,0.245,0,0.001,0.004,0.059,0.126
131,KOLDA,DIOULACOLON,2,Tropics lowland; semi-arid with soil/terrain limitations,35539.95867,7.857607488,36974.82849,8.171232815,38198.54566,8.417484721,38952.7181,8.542262741,0.011,0.001,0,0.025,0,0,0.678,0.262,0.023
132,KOLDA,GUIRO YERO BOCAR,2,Tropics lowland; semi-arid with soil/terrain limitations,18707.05427,4.13415564,18692.7326,4.12734215,18688.09279,4.124496313,19971.00202,4.403749067,0.011,0,0,0.006,0,0,0.811,0.153,0.018
133,KOLDA,MEDINA EL HADJ,2,Tropics lowland; semi-arid with soil/terrain limitations,12947.91787,4.269013474,12781.65482,4.203109114,12673.7498,4.159419036,13757.13527,4.510536155,0.008,0,0,0.008,0,0,0.884,0.088,0.012
134,KOLDA,SALIKEGNE,52,Dominantly hydromorphic soils,3773.633572,9.675983517,4053.255594,10.39296306,4426.949574,11.35115275,4352.258615,11.15963747,0.014,0,0,0.048,0,0,0.694,0.225,0.019
135,KOLDA,TANKANTO ESCALE,2,Tropics lowland; semi-arid with soil/terrain limitations,17952.72155,4.636549987,17714.68748,4.572712308,17306.5573,4.437578796,18979.6303,4.825738699,0.019,0.001,0,0.005,0,0,0.913,0.042,0.019
136,KOLDA,SARE YOBA DIEGA,52,Dominantly hydromorphic soils,4885.482859,9.636060866,5181.021857,10.19886192,5929.605195,11.53619688,5804.114659,11.27012555,0.03,0.008,0,0.043,0,0,0.831,0.055,0.032
137,SEDHIOU,BEMET BIDJINI,2,Tropics lowland; semi-arid with soil/terrain limitations,12359.71667,5.549940131,12612.64755,5.615604429,12545.65849,5.546268119,13095.00472,5.766184376,0.009,0.006,0,0.007,0.134,0,0.654,0.067,0.122
138,SEDHIOU,DJIBABOUYA,2,Tropics lowland; semi-arid with soil/terrain limitations,5667.883429,5.56766545,6524.143445,6.377461823,6828.191705,6.661650444,6832.70538,6.666054029,0.01,0.004,0,0.006,0.056,0,0.751,0.038,0.135
139,SEDHIOU,SAN SAMBA,2,Tropics lowland; semi-arid with soil/terrain limitations,18344.24426,4.564380258,18519.55604,4.589728882,17282.24331,4.261958894,18762.29924,4.607637338,0.005,0.002,0,0.003,0.027,0,0.894,0.024,0.044
140,SEDHIOU,DIATTACOUNDA,57,Dominantly water,5149.33679,15.89301478,5400.335295,16.66770153,5641.610573,17.35880176,5381.172797,16.45618592,0.01,0.007,0,0.077,0.493,0,0.327,0.058,0.027
141,SEDHIOU,DJIBANAR,2,Tropics lowland; semi-arid with soil/terrain limitations,11018.18813,8.107570365,11345.01124,8.348058306,11859.18812,8.713584219,11774.70735,8.563423525,0.001,0.002,0,0.009,0.069,0,0.899,0.012,0.008
142,SEDHIOU,KAOUR,2,Tropics lowland; semi-arid with soil/terrain limitations,6790.459565,8.201038123,6913.817838,8.350021543,7083.209659,8.554601038,7113.181531,8.590798951,0.001,0.018,0,0.009,0.196,0,0.733,0.014,0.03
143,SEDHIOU,MANGAROUNGOU SANTO,2,Tropics lowland; semi-arid with soil/terrain limitations,15077.66267,7.135666197,15139.41172,7.127783296,15075.6808,7.067829725,15633.80679,7.312351162,0.002,0.002,0,0.009,0.085,0,0.865,0.01,0.026
144,SEDHIOU,SAMINE,2,Tropics lowland; semi-arid with soil/terrain limitations,7577.27889,20.15233747,8139.055505,21.58900665,8861.881664,23.38227352,8261.792791,21.57126055,0.006,0.046,0,0.109,0,0,0.787,0.036,0.016
145,SEDHIOU,SIMBANDI BALANTE,2,Tropics lowland; semi-arid with soil/terrain limitations,26249.43689,7.035496352,26613.24677,7.077991163,26591.64266,7.003329645,27582.99663,7.186815173,0.002,0.006,0,0.01,0.101,0,0.803,0.025,0.052
146,SEDHIOU,YARANG BALANTE,2,Tropics lowland; semi-arid with soil/terrain limitations,16722.52694,7.663852858,16866.80897,7.684195429,16782.27495,7.569812788,17460.73771,7.794972193,0.002,0.015,0,0.011,0.04,0,0.904,0.01,0.018
147,FATICK,DIAGANE BARKA,2,Tropics lowland; semi-arid with soil/terrain limitations,13124.84907,4.028498795,14108.2895,4.206407125,14320.4269,4.268383578,15153.34371,4.51664492,0.702,0,0,0.008,0,0,0.079,0.161,0.049
148,FATICK,DIOSSONG,1,Tropics lowland; semi-arid no soil/terrain limitations,26054.93591,5.455388591,26496.04987,5.482319443,26419.17399,5.34368406,27925.49891,5.524332129,0.602,0.083,0.002,0.011,0.023,0,0.081,0.1,0.099
149,FATICK,DJILOR,2,Tropics lowland; semi-arid with soil/terrain limitations,26875.3723,5.129866826,27618.84813,5.214054773,27202.02771,5.130522012,27594.61938,5.196726813,0.299,0.132,0.018,0.004,0.066,0,0.072,0.151,0.257
150,FATICK,MBAM,2,Tropics lowland; semi-arid with soil/terrain limitations,20258.42077,4.77567675,21806.0097,5.12600134,22746.28649,5.347034907,22451.22842,5.265297471,0.321,0.074,0.035,0.01,0.142,0,0.019,0.099,0.298
151,FATICK,NIASSENE,1,Tropics lowland; semi-arid no soil/terrain limitations,16656.18569,4.924951416,17924.3891,5.092155993,18721.48663,5.209094777,20097.00687,5.557800573,0.869,0,0,0.013,0,0,0.03,0.057,0.031
152,FATICK,PASSY,2,Tropics lowland; semi-arid with soil/terrain limitations,16986.45153,20.31872192,17564.72478,20.28259213,17447.50459,20.12399606,16735.17995,19.30239902,0.502,0,0,0.242,0,0,0.04,0.163,0.052
153,FATICK,SOUM,2,Tropics lowland; semi-arid with soil/terrain limitations,4397.265179,21.03954631,4956.532556,23.71546678,5211.574853,24.93576485,4984.598528,23.84975372,0.386,0,0,0.355,0,0,0.002,0.111,0.145
154,SEDHIOU,BAMBALY,2,Tropics lowland; semi-arid with soil/terrain limitations,17228.68364,5.850147247,17440.24421,5.884023014,18019.05785,6.046663707,19074.9668,6.354086209,0.003,0.003,0,0.005,0.171,0,0.722,0.019,0.076
155,SEDHIOU,DJIREDJI,2,Tropics lowland; semi-arid with soil/terrain limitations,19720.44992,6.506252037,19901.82119,6.531611812,19796.15516,6.473562839,20953.09388,6.785328329,0.004,0.002,0,0.006,0.183,0,0.718,0.03,0.057
156,LOUGA,DODJI,53,Desert/Arid climate,17226.07793,1.566149462,17141.30069,1.555189684,17073.12525,1.542009145,17525.84455,1.571120085,0.012,0,0,0.001,0,0,0.001,0.019,0.956
157,LOUGA,LABGAR,53,Desert/Arid climate,12455.02492,1.554352292,12017.97447,1.499809618,13251.36458,1.650026719,14205.69218,1.758783234,0.001,0,0,0,0,0,0,0.007,0.991
158,LOUGA,OUARKHOKH,53,Desert/Arid climate,17233.11912,2.056212757,17876.79221,2.119610174,18166.94166,2.149933924,18647.58596,2.192801736,0.246,0,0,0.002,0,0,0,0.016,0.733
159,KOLDA,BADION,50,Land with severe soil/terrain limitations,13712.82647,3.129353371,13638.29954,3.11163576,13786.47934,3.138283483,13986.09148,3.169293334,0.03,0,0,0.003,0,0,0.52,0.391,0.056
160,KOLDA,FAFACOUROU,2,Tropics lowland; semi-arid with soil/terrain limitations,9563.888726,2.972921581,9469.812116,2.942763243,9494.008972,2.942966203,9628.014777,2.977122689,0.012,0,0,0.001,0,0,0.771,0.186,0.029
161,FATICK,FATICK,2,Tropics lowland; semi-arid with soil/terrain limitations,30430.12276,19.4441679,28991.0001,18.47737418,29150.37881,18.49643325,26724.67346,16.91435029,0.279,0.007,0.033,0.294,0.001,0,0,0.058,0.326
162,FATICK,DJILASSE,2,Tropics lowland; semi-arid with soil/terrain limitations,12330.04344,2.472932901,12349.47872,2.476830871,12498.32962,2.497168755,12612.05804,2.50686902,0.315,0.028,0.089,0.003,0.162,0,0.012,0.043,0.344
163,FATICK,FIMELA,2,Tropics lowland; semi-arid with soil/terrain limitations,34304.20326,4.736841102,33897.9627,4.680746023,34982.68212,4.80597364,33828.45203,4.631496718,0.226,0.097,0.051,0.014,0.17,0.001,0.018,0.082,0.338
164,FATICK,LOUL SESSENE,2,Tropics lowland; semi-arid with soil/terrain limitations,26428.17668,2.317244777,28032.12046,2.452503977,28111.29897,2.44403573,28985.8546,2.518756917,0.489,0.024,0.094,0.004,0.028,0,0.007,0.03,0.321
165,FATICK,PALMARIN FACAO,2,Tropics lowland; semi-arid with soil/terrain limitations,8020.115003,5.980697243,8066.389285,6.015204537,8534.660939,6.364400402,8246.402349,6.149442467,0.053,0.229,0.023,0.023,0.143,0,0.015,0.145,0.37
166,THIES,FISSEL,2,Tropics lowland; semi-arid with soil/terrain limitations,42790.76126,3.267967104,43691.90674,3.309742197,43080.25821,3.214944642,49769.56435,3.628577162,0.9,0,0,0.013,0,0,0.002,0.02,0.065
167,THIES,NDIAGANIAO,2,Tropics lowland; semi-arid with soil/terrain limitations,45657.1785,3.499975354,47469.96861,3.607414592,46757.06973,3.542739031,52523.99527,3.978487749,0.866,0,0,0.015,0,0,0.001,0.017,0.102
168,KEDOUGOU,DIMBOLI,50,Land with severe soil/terrain limitations,10979.01584,2.298307691,11781.23976,2.453402699,11518.7821,2.391277165,12250.2113,2.538377808,0,0.001,0,0,0,0,0.577,0.422,0
169,KEDOUGOU,FONGOLIMBI,50,Land with severe soil/terrain limitations,6965.880212,3.519899046,7338.521035,3.652822815,7344.86464,3.567199922,8012.995622,3.845007496,0,0.002,0,0.004,0,0,0.611,0.382,0
170,FATICK,FOUNDIOUGNE,2,Tropics lowland; semi-arid with soil/terrain limitations,13564.75997,27.02143421,13357.83243,26.60922794,14552.4521,28.98894841,13154.86539,26.10092339,0.039,0.003,0.026,0.278,0.002,0,0,0.122,0.527
171,SAINT LOUIS,DEMETTE,52,Dominantly hydromorphic soils,3037.238827,6.871581056,3193.019887,7.224026893,3320.82801,7.412562522,3432.79606,7.577916248,0.001,0.09,0.006,0.029,0,0.001,0.001,0.031,0.833
172,SAINT LOUIS,DODEL,53,Desert/Arid climate,42043.48049,3.497502745,42227.34153,3.491016992,42788.66874,3.517937083,46027.93288,3.761373938,0,0.075,0.002,0.002,0,0,0,0.009,0.905
173,SAINT LOUIS,GAMADJI SARE,53,Desert/Arid climate,33218.98465,2.951224649,33168.89552,2.934261812,33742.4904,2.960646696,36072.14549,3.133438628,0,0.02,0.001,0.001,0,0,0.001,0.007,0.965
174,SAINT LOUIS,GUEDE VILLAGE,53,Desert/Arid climate,51342.92143,3.823287023,53862.49428,3.948573732,56214.3548,4.072323587,58156.78246,4.169243849,0.001,0.032,0.001,0.002,0,0.002,0.001,0.03,0.927
175,SAINT LOUIS,GUEDE CHANTIER,51,Ample irrigated soils,3390.142058,7.635455086,3459.135965,7.773339246,3761.634557,8.359187904,3885.364495,8.576963566,0.012,0.042,0,0.052,0,0.003,0.007,0.349,0.533
176,SAINT LOUIS,NDIOUM,53,Desert/Arid climate,22233.977,21.05490246,22622.58978,21.2618325,24226.97222,22.76971073,22337.04532,20.99346364,0.001,0.043,0.004,0.117,0,0.001,0.001,0.05,0.777
177,SAINT LOUIS,PODOR,52,Dominantly hydromorphic soils,10536.99775,24.05707248,9907.83016,21.72769772,10238.33033,22.4524788,9550.639088,20.94438397,0.006,0.097,0.006,0.204,0,0.002,0.003,0.051,0.569
178,KAFFRINE,BOULEL,2,Tropics lowland; semi-arid with soil/terrain limitations,31504.28053,2.67008056,32597.36194,2.757114263,33246.34931,2.806309556,34722.25865,2.913185557,0.354,0,0,0.003,0,0,0,0.189,0.454
179,KAFFRINE,GNIBY,2,Tropics lowland; semi-arid with soil/terrain limitations,24475.4654,3.184836097,25218.54842,3.267921267,25916.0928,3.339272362,26662.48835,3.410833868,0.443,0,0,0.004,0,0,0.001,0.038,0.514
180,KAFFRINE,KAHI,2,Tropics lowland; semi-arid with soil/terrain limitations,29839.4505,3.970652096,30200.35383,3.976346785,31736.65495,4.146414287,32745.83547,4.251601593,0.466,0,0,0.007,0,0,0.001,0.185,0.341
181,TAMBACOUNDA,GOUDIRY,2,Tropics lowland; semi-arid with soil/terrain limitations,12912.91812,13.84021235,13222.64617,14.17218239,15345.09757,16.44704991,14596.43077,15.64462033,0.002,0,0.001,0.047,0,0,0.001,0.761,0.189
182,SEDHIOU,GOUDOMP,52,Dominantly hydromorphic soils,11105.01665,23.93322554,10675.41627,23.00736265,10965.78288,23.63315275,10269.09489,22.13167002,0.004,0.004,0,0.216,0.381,0,0.265,0.083,0.046
183,DAKAR,BISCUITERIE,56,Dominantly built-up land,24739.7701,166.0387255,23582.29865,158.2704607,22641.2903,151.9549684,23396.54112,157.0237659,0,0,0,0.995,0,0,0,0,0.005
184,DAKAR,DIEUPPEUL DERKLE,56,Dominantly built-up land,31178.73769,170.3756158,29806.6414,162.8778218,28688.41846,156.767314,29364.03284,160.4591959,0,0,0,0.997,0,0,0,0,0.003
185,DAKAR,GRAND DAKAR,56,Dominantly built-up land,16776.30078,135.2927482,16398.18992,132.2434671,15606.22005,125.8566133,16373.99639,132.048358,0,0,0.003,0.993,0,0,0,0,0.004
186,DAKAR,HANN BEL AIR,56,Dominantly built-up land,130718.3333,91.53944912,134682.2455,94.31529797,131630.5681,92.17826897,135389.1058,94.81029815,0,0.01,0.008,0.8,0.01,0,0.031,0.005,0.129
187,DAKAR,HLM,56,Dominantly built-up land,30637.1091,145.8909957,30005.08534,142.8813588,29205.10856,139.0719455,29673.65659,141.3031266,0,0,0,0.96,0,0,0,0,0.04
188,DAKAR,SICAP LIBERTE,56,Dominantly built-up land,35231.81369,153.8507148,33754.29803,147.3986814,32346.63366,141.2516754,33797.73705,147.5883714,0,0,0,0.994,0,0,0,0,0.006
189,KAFFRINE,FASS THIEKENE,2,Tropics lowland; semi-arid with soil/terrain limitations,20110.39171,2.80401446,21155.834,2.906420388,21921.28713,3.007860474,22917.42581,3.137224614,0.044,0,0,0.004,0,0,0.004,0.615,0.334
190,KAFFRINE,IDA MOURIDE,2,Tropics lowland; semi-arid with soil/terrain limitations,26933.39794,2.990606034,29091.60447,3.174899539,30501.13896,3.322564157,32180.83952,3.473002323,0.036,0,0,0.003,0,0,0.004,0.691,0.266
191,KAFFRINE,SALY ESCALE,2,Tropics lowland; semi-arid with soil/terrain limitations,27864.64106,4.142209166,28876.96064,4.189316791,29480.07672,4.245402753,31495.63671,4.512268869,0.106,0,0,0.003,0,0,0.013,0.62,0.256
192,DAKAR,JAXAAY PARCELLES,56,Dominantly built-up land,62521.52862,102.6626086,62649.05288,102.872008,64577.30879,106.0382739,63701.61235,104.6003487,0.004,0,0.001,0.802,0,0.001,0.002,0.107,0.083
193,DAKAR,KEUR MASSAR SUD,56,Dominantly built-up land,84629.12934,125.5625064,82266.5564,122.0572053,85665.23536,127.0997557,82779.49952,122.8182485,0.002,0,0.002,0.932,0,0,0.001,0.019,0.043
194,THIES,JOAL FADHIOUTH,2,Tropics lowland; semi-arid with soil/terrain limitations,33252.75466,16.79432054,32896.89578,16.61459383,34716.98829,17.53383247,34108.25452,17.20033006,0.266,0.016,0.004,0.195,0.007,0,0.144,0.189,0.175
195,DIOURBEL,DAROU NAHIM,2,Tropics lowland; semi-arid with soil/terrain limitations,5346.917733,4.183816692,5739.133753,4.476703395,6340.054557,4.858279354,7077.206465,5.402447683,0.893,0,0,0.003,0,0,0,0.002,0.101
196,DIOURBEL,DAROU SALAM TYP,2,Tropics lowland; semi-arid with soil/terrain limitations,9475.096615,2.765644079,10014.46463,2.904427096,10402.89428,3.010096724,11715.2802,3.382985908,0.836,0,0,0.003,0,0,0,0.004,0.157
197,DIOURBEL,DENDEYE GOUY GUI,2,Tropics lowland; semi-arid with soil/terrain limitations,8313.625458,5.38796206,8845.308846,5.601842208,9991.568567,6.28796008,11466.71294,6.987637381,0.947,0,0,0.007,0,0,0,0.01,0.036
198,DIOURBEL,KAEL,2,Tropics lowland; semi-arid with soil/terrain limitations,12230.09239,2.902252583,13686.66835,3.24328634,14308.51265,3.376241776,16349.6086,3.824469847,0.863,0,0,0.002,0,0,0,0.009,0.126
199,DIOURBEL,MADINA,2,Tropics lowland; semi-arid with soil/terrain limitations,13329.48909,2.986665716,14496.52229,3.241619475,15143.30035,3.37643263,17232.5152,3.826046891,0.743,0,0,0.004,0,0,0,0.009,0.244
200,DIOURBEL,NDIOUMANE,2,Tropics lowland; semi-arid with soil/terrain limitations,8167.89,3.233527316,8557.865915,3.328613736,8988.352069,3.44249409,10372.16708,3.966411886,0.81,0,0,0.003,0,0,0,0.008,0.179
201,DIOURBEL,TAIBA THIEKENE,2,Tropics lowland; semi-arid with soil/terrain limitations,3819.137943,3.609771213,4001.376289,3.746607013,4282.359529,3.957818419,4900.793062,4.529383606,0.856,0,0,0.003,0,0,0,0.005,0.136
202,DIOURBEL,TOUBA MBOUL,2,Tropics lowland; semi-arid with soil/terrain limitations,15949.12399,2.842981104,16918.20407,2.978032752,17170.9986,2.993027471,19543.36625,3.382375606,0.795,0,0,0.004,0,0,0,0.006,0.196
203,KAFFRINE,KAFFRINE,2,Tropics lowland; semi-arid with soil/terrain limitations,47219.50051,25.46898625,46180.11661,24.90836926,49404.61072,26.4904079,46309.0787,24.77746319,0.377,0,0,0.205,0,0,0,0.138,0.278
204,KAOLACK,KAHONE,2,Tropics lowland; semi-arid with soil/terrain limitations,35236.50564,20.30922515,36984.21866,21.31655254,38820.49076,22.32345645,36936.32277,20.84442594,0.359,0.011,0.01,0.146,0,0,0,0.138,0.335
205,SEDHIOU,KARANTABA,2,Tropics lowland; semi-arid with soil/terrain limitations,12705.52687,7.49588606,12558.20321,7.387178361,12637.53624,7.416394509,12798.49618,7.480126345,0.005,0.002,0,0.007,0.117,0,0.805,0.035,0.029
206,SEDHIOU,KOLIBANTANG,2,Tropics lowland; semi-arid with soil/terrain limitations,11473.62713,4.731392629,11164.70051,4.592636985,10701.47828,4.38405501,11389.11776,4.656221489,0.006,0.001,0,0.003,0.01,0,0.941,0.02,0.018
207,ZIGUINCHOR,KATABA 1,2,Tropics lowland; semi-arid with soil/terrain limitations,33904.27081,2.828655999,34673.02688,2.853512212,35213.78378,2.876003249,36429.49257,2.964639695,0.001,0.017,0.003,0.005,0.013,0,0.904,0.009,0.046
208,ZIGUINCHOR,DIOULOULOU,52,Dominantly hydromorphic soils,8674.419051,4.577529842,8785.269001,4.599617278,9312.380054,4.867945663,9085.338419,4.746780783,0.003,0.007,0.013,0.022,0.098,0,0.705,0.024,0.128
209,ZIGUINCHOR,DJINAKY,2,Tropics lowland; semi-arid with soil/terrain limitations,15968.21922,2.822736295,15728.00773,2.771943554,15080.74492,2.647137954,16003.23812,2.756327613,0.002,0.038,0.006,0.004,0.063,0,0.634,0.025,0.228
210,ZIGUINCHOR,KAFOUNTINE,50,Land with severe soil/terrain limitations,44270.35092,4.069340098,45292.73893,4.152630322,48522.13167,4.438541133,46981.28734,4.28270623,0.002,0.458,0.004,0.006,0.209,0,0.167,0.02,0.133
211,KAFFRINE,DIAMAGADIO,2,Tropics lowland; semi-arid with soil/terrain limitations,27557.04634,2.662002158,28391.3373,2.730723988,27376.62933,2.622784952,28578.85394,2.7356039,0.426,0.004,0,0.004,0.001,0,0.033,0.418,0.114
212,KAFFRINE,DIOKOUL BELBOUCK,2,Tropics lowland; semi-arid with soil/terrain limitations,25754.34402,3.27413476,27049.68731,3.420979804,26728.10017,3.368805164,27678.59416,3.468930212,0.419,0,0,0.006,0,0,0,0.283,0.291
213,KAFFRINE,KATHIOTTE,2,Tropics lowland; semi-arid with soil/terrain limitations,41782.74765,3.215789091,43302.72131,3.31187161,42577.18552,3.243481795,44382.89735,3.379494201,0.454,0,0,0.009,0,0,0.001,0.228,0.308
214,KAFFRINE,MEDINATOUL SALAM 2,2,Tropics lowland; semi-arid with soil/terrain limitations,19734.01871,3.227149421,20154.62661,3.276642271,20778.88281,3.340119403,22075.69381,3.498525169,0.261,0,0,0.004,0,0,0.025,0.62,0.09
215,LOUGA,KEBEMER,53,Desert/Arid climate,23281.89017,18.50706691,22567.58786,17.67234758,24114.07392,18.88337817,23220.69675,18.18378759,0.044,0,0,0.208,0,0,0,0.004,0.737
216,TAMBACOUNDA,GATHIARY,2,Tropics lowland; semi-arid with soil/terrain limitations,2962.188164,3.965446003,2899.865105,3.882014866,2743.790848,3.648658043,2990.086066,3.903506613,0.002,0.003,0.001,0.001,0.002,0,0.002,0.951,0.038
217,TAMBACOUNDA,MADINA FOULBE,2,Tropics lowland; semi-arid with soil/terrain limitations,5778.21056,3.392959812,5626.503455,3.303877542,5360.808432,3.147861675,5659.076472,3.315217617,0,0.001,0,0.001,0.001,0,0.005,0.979,0.013
218,TAMBACOUNDA,SADATOU,50,Land with severe soil/terrain limitations,16639.10175,3.129415413,17460.29422,3.272169082,17514.89103,3.280556477,17865.17031,3.338036307,0.002,0,0,0.001,0.001,0,0.088,0.901,0.006
219,TAMBACOUNDA,TOUMBOURA,50,Land with severe soil/terrain limitations,4191.870134,2.156311797,4381.770213,2.252838156,4216.996307,2.168121495,4422.393765,2.273724301,0.004,0.001,0,0.001,0.002,0,0.003,0.957,0.033
220,KAFFRINE,DIAMAL,2,Tropics lowland; semi-arid with soil/terrain limitations,14898.51569,2.197421193,15498.39391,2.275828768,16115.74499,2.354382029,16598.87332,2.412626936,0.664,0,0,0.005,0,0,0.002,0.081,0.249
221,KAFFRINE,KEUR MBOUCKI,2,Tropics lowland; semi-arid with soil/terrain limitations,13158.51794,2.201893899,13995.13882,2.340715641,14330.33885,2.39357589,14646.25507,2.444709576,0.641,0,0.002,0.007,0,0,0.001,0.083,0.265
222,KAFFRINE,TOUBA MBELLA,2,Tropics lowland; semi-arid with soil/terrain limitations,14122.0502,2.064627222,13861.29495,2.016481663,13522.58798,1.954413641,14169.0825,2.03901029,0.627,0,0,0.004,0,0,0.001,0.1,0.268
223,LOUGA,GANDE,53,Desert/Arid climate,24527.22234,1.82263672,23276.37305,1.724942422,22950.86305,1.696043678,24593.32696,1.815139638,0.336,0.003,0,0.001,0,0,0.001,0.013,0.645
224,LOUGA,KEUR MOMAR SARR,53,Desert/Arid climate,43260.7172,3.244634906,43237.22758,3.224974086,43196.42849,3.215694818,46106.4829,3.429011074,0.076,0.095,0,0.003,0.024,0.001,0.004,0.02,0.777
225,LOUGA,NGUER MALAL,53,Desert/Arid climate,35086.58826,3.616428392,35175.85188,3.590471765,35244.67436,3.57269887,37201.43707,3.766471304,0.376,0.013,0,0.008,0,0,0.001,0.008,0.593
226,LOUGA,SYER,53,Desert/Arid climate,22660.25848,1.771301374,22107.42249,1.724447932,21535.50945,1.678135233,23715.89224,1.845594727,0.033,0.016,0,0,0.016,0.001,0.002,0.021,0.91
227,THIES,FANDENE,2,Tropics lowland; semi-arid with soil/terrain limitations,82839.8218,11.45779001,86269.7081,11.91570554,90762.75051,12.47426478,91220.71633,12.46184649,0.366,0,0,0.067,0,0.001,0.011,0.29,0.264
228,THIES,KEUR MOUSSA,2,Tropics lowland; semi-arid with soil/terrain limitations,109407.7375,8.060689417,116520.8837,8.569602391,120255.3927,8.799604325,125458.1933,9.103046965,0.165,0,0.005,0.028,0,0,0.112,0.502,0.186
229,THIES,KAYAR,2,Tropics lowland; semi-arid with soil/terrain limitations,18014.40989,11.26604746,18742.83916,11.71427448,19385.47547,12.04815132,19285.85786,11.98623857,0.158,0,0.029,0.081,0.001,0,0.06,0.213,0.441
230,THIES,DIENDER,2,Tropics lowland; semi-arid with soil/terrain limitations,59402.19478,8.288292839,61688.97372,8.541813033,65462.91558,9.043088214,67000.63454,9.252953258,0.343,0,0.003,0.046,0,0,0.064,0.256,0.28
231,THIES,POUT,2,Tropics lowland; semi-arid with soil/terrain limitations,19810.8234,33.1839588,20100.25059,33.66876146,19949.00759,33.4154231,19460.78926,32.59763694,0.029,0,0,0.494,0,0,0.1,0.315,0.062
232,THIES,KHOMBOLE,2,Tropics lowland; semi-arid with soil/terrain limitations,15248.46638,27.87653816,15251.37482,27.88185524,15197.44579,27.68205062,15041.75071,27.39845303,0.28,0,0,0.439,0,0,0,0.026,0.256
233,TAMBACOUNDA,KOTHIARY,50,Land with severe soil/terrain limitations,5671.058355,10.92689471,6000.120961,11.56092671,7132.624217,13.74301391,6955.337105,13.40142024,0.011,0,0.001,0.052,0,0,0.002,0.848,0.086
234,TAMBACOUNDA,KOULOR,2,Tropics lowland; semi-arid with soil/terrain limitations,12735.69542,1.571532011,13309.67933,1.63630186,13557.69609,1.664337845,14335.59817,1.757459626,0.004,0,0,0,0,0,0.003,0.973,0.02
235,TAMBACOUNDA,SINTHIOU BOCAR ALY,2,Tropics lowland; semi-arid with soil/terrain limitations,6776.812151,1.52734103,6936.116635,1.562188431,7022.426665,1.581271485,7286.591999,1.63780445,0.001,0,0,0,0,0,0.001,0.978,0.02
236,KAOLACK,KAOLACK,2,Tropics lowland; semi-arid with soil/terrain limitations,220652.1404,44.88448746,211110.9958,42.94365252,213938.9287,43.51005261,198327.295,40.30223431,0.085,0.05,0.07,0.292,0.037,0.001,0,0.087,0.374
